,compound_word,split_1,split_2,split_3
0,aftereffect,aftereffect,aft er effect,aftereffect
1,afternoon,afternoon,aft er noon,afternoon
2,afterthought,afterthought,aft er thought,afterthought
3,airbag,airbag,air bag,air b a g
4,aircraft,aircraft,air craft,air c r a f t
5,airline,airline,air line,air l i n e
6,airplane,airplane,air plane,air pl a n e
7,airport,airport,air port,air p o r t
8,airtight,airtight,air tight,air ti g h t
9,angelfish,angelfish,an gel fish,angelfish
10,another,another,an other,an o t h e r
11,anybody,anybody,any body,any bod y
12,anyhow,anyhow,any how,any ho w
13,anyone,anyone,any one,an yo n e
14,anyplace,anyplace,any place,any pl ace
15,anything,anything,any thing,any thin g
16,anytime,anytime,any time,any ti me
17,anyway,anyway,any way,any w a y
18,anywhere,anywhere,any where,any w h e r e
19,applesauce,applesauce,apple sauce,apples a u c e
20,armchair,armchair,arm chair,arm ch air
21,armhole,armhole,arm hole,arm ho l e
22,armpit,armpit,arm pit,arm pi t
23,arrowhead,arrowhead,arr ow head,arrowhead
24,artwork,artwork,art work,art w o r k
25,awestruck,awestruck,awe struck,awe s t r u c k
26,backache,backache,back ache,back ac he
27,backbone,backbone,back bone,back b o n e
28,backdrop,backdrop,back drop,back d r o p
29,background,background,back ground,back gr o u n d
30,backhand,backhand,back hand,back ha n d
31,backhoe,backhoe,back hoe,back ho e
32,backlog,backlog,back log,back lo g
33,backpack,backpack,back pack,back pa ck
34,backspace,backspace,back space,backs pace
35,backstabbing,backstabbing,back stabbing,backs tabbing
36,backstroke,backstroke,back stroke,backs tr o k e
37,backwater,backwater,back water,back w a t e r
38,backwoods,backwoods,back woods,back wood s
39,backyard,backyard,back yard,back ya rd
40,badlands,badlands,bad lands,bad land s
41,bagpipes,bagpipes,bag pipes,bag pip es
42,ballplayer,ballplayer,ball player,ball play er
43,bantamweight,bantamweight,ban tam weight,bantamweight
44,barcode,bar code,bar code,bar code
45,barefoot,barefoot,bare foot,bare foo t
46,barnstorm,barnstorm,barn storm,barns to rm
47,barnyard,barnyard,barn yard,barn ya rd
48,baseball,baseball,base ball,base b a l l
49,basketball,basketball,basket ball,basket b a l l
50,bathmat,bathmat,bath mat,bath ma t
51,bathrobe,bathrobe,bath robe,bat hr o b e
52,bathroom,bathroom,bath room,bat hr o o m
53,bathtub,bathtub,bath tub,bat ht u b
54,bathwater,bath water,bath water,bath water
55,battleaxe,battle ax e,battle ax e,battle ax e
56,battlecruiser,battle cruiser,battle cruiser,battle cruiser
57,battleship,battleship,battle ship,battles hip
58,battlecry,battle cry,battle cry,battle cry
59,beancurd,be an curd,bean cu rd,be a n c u r d
60,beachcomber,beachcomber,beach comb er,beach com be r
61,become,become,be come,be co me
62,bedspread,bedspread,bed spread,beds pr ea d
63,bedrock,bedrock,bed rock,bed r o c k
64,bedroom,bedroom,bed room,bed r o o m
65,bedtime,bedtime,bed time,bed ti me
66,beehive,beehive,bee hive,be eh iv e
67,beekeeper,beekeeper,bee keeper,bee keep er
68,beekeeping,beekeeping,bee keeping,bee keep in g
69,beeswax,beeswax,be es wax,beeswax
70,beforehand,beforehand,be forehand,be for eh and
71,bellflower,bell flower,be ll fl ow er,be l l f l o w e r
72,bellhop,bellhop,be ll hop,bellhop
73,bellyache,bellyache,belly ache,belly ac he
74,benchmark,benchmark,bench mark,bench mar k
75,billboard,billboard,bi ll board,billboard
76,birthday,birthday,birth day,birth d a y
77,birthplace,birthplace,birth place,birth pl ace
78,birthrate,birthrate,birth rate,bi rt hr ate
79,birthright,birthright,birth right,birth rig ht
80,bitterroot,bitter root,bitter root,bitter root
81,bittersweet,bittersweet,bitter sweet,bitters wee t
82,blackberry,blackberry,black berry,black be r r y
83,blackbird,blackbird,black bird,black bi rd
84,blackboard,blackboard,black board,black boa rd
85,blackout,blackout,black out,black o u t
86,blockbuster,blockbuster,block buster,block bus t e r
87,bluebells,bluebells,blue bells,blue be ll s
88,bluebird,bluebird,blue bird,blue bi rd
89,blueberry,blueberry,blue berry,blue be r r y
90,bluebonnets,blue bonnets,blue bonnets,blue bonnets
91,bobcat,bobcat,bob cat,bob ca t
92,bobtail,bobtail,bob tail,bob ta i l
93,bodyguard,bodyguard,body guard,body g u a r d
94,bookbinder,book binder,book bind er,book bind e r
95,bookcase,bookcase,book case,boo kc as e
96,bookkeeper,bookkeeper,book keeper,book keep er
