,compound_word,split_1,split_2
0,aftereffect,aftereffect,aft er effect
1,afternoon,afternoon,aft er noon
2,afterthought,afterthought,aft er thought
3,airbag,airbag,air bag
4,aircraft,aircraft,air craft
5,airline,airline,air line
6,airplane,airplane,air plane
7,airport,airport,air port
8,airtight,airtight,air tight
9,angelfish,angelfish,an gel fish
10,another,another,an other
11,anybody,anybody,any body
12,anyhow,anyhow,any how
13,anyone,anyone,any one
14,anyplace,anyplace,any place
15,anything,anything,any thing
16,anytime,anytime,any time
17,anyway,anyway,any way
18,anywhere,anywhere,any where
19,applesauce,applesauce,apple sauce
20,armchair,armchair,arm chair
21,armhole,armhole,arm hole
22,armpit,armpit,arm pit
23,arrowhead,arrowhead,arr ow head
24,artwork,artwork,art work
25,awestruck,awestruck,awe struck
26,backache,backache,back ache
27,backbone,backbone,back bone
28,backdrop,backdrop,back drop
29,background,background,back ground
30,backhand,backhand,back hand
31,backhoe,backhoe,back hoe
32,backlog,backlog,back log
33,backpack,backpack,back pack
34,backspace,backspace,back space
35,backstabbing,backstabbing,back stabbing
36,backstroke,backstroke,back stroke
37,backwater,backwater,back water
38,backwoods,backwoods,back woods
39,backyard,backyard,back yard
40,badlands,badlands,bad lands
41,bagpipes,bagpipes,bag pipes
42,ballplayer,ballplayer,ball player
43,bantamweight,bantamweight,ban tam weight
44,barcode,bar code,bar code
45,barefoot,barefoot,bare foot
46,barnstorm,barnstorm,barn storm
47,barnyard,barnyard,barn yard
48,baseball,baseball,base ball
49,basketball,basketball,basket ball
50,bathmat,bathmat,bath mat
51,bathrobe,bathrobe,bath robe
52,bathroom,bathroom,bath room
53,bathtub,bathtub,bath tub
54,bathwater,bath water,bath water
55,battleaxe,battle ax e,battle ax e
56,battlecruiser,battle cruiser,battle cruiser
57,battleship,battleship,battle ship
58,battlecry,battle cry,battle cry
59,beancurd,be an curd,bean cu rd
60,beachcomber,beachcomber,beach comb er
61,become,become,be come
62,bedspread,bedspread,bed spread
63,bedrock,bedrock,bed rock
64,bedroom,bedroom,bed room
65,bedtime,bedtime,bed time
66,beehive,beehive,bee hive
67,beekeeper,beekeeper,bee keeper
68,beekeeping,beekeeping,bee keeping
69,beeswax,beeswax,be es wax
70,beforehand,beforehand,be forehand
71,bellflower,bell flower,be ll fl ow er
72,bellhop,bellhop,be ll hop
73,bellyache,bellyache,belly ache
74,benchmark,benchmark,bench mark
75,billboard,billboard,bi ll board
76,birthday,birthday,birth day
77,birthplace,birthplace,birth place
78,birthrate,birthrate,birth rate
79,birthright,birthright,birth right
80,bitterroot,bitter root,bitter root
81,bittersweet,bittersweet,bitter sweet
82,blackberry,blackberry,black berry
83,blackbird,blackbird,black bird
84,blackboard,blackboard,black board
85,blackout,blackout,black out
86,blockbuster,blockbuster,block buster
87,bluebells,bluebells,blue bells
88,bluebird,bluebird,blue bird
89,blueberry,blueberry,blue berry
90,bluebonnets,blue bonnets,blue bonnets
91,bobcat,bobcat,bob cat
92,bobtail,bobtail,bob tail
93,bodyguard,bodyguard,body guard
94,bookbinder,book binder,book bind er
95,bookcase,bookcase,book case
96,bookkeeper,bookkeeper,book keeper
97,bookmark,bookmark,book mark
98,bookmobile,bookmobile,book mobile
99,bookshelf,bookshelf,book shelf
100,bookworm,bookworm,book worm
101,bowlegged,bowlegged,bow legged
102,boxcar,boxcar,box car
103,boxcutter,box cutter,box cutter
104,boxsprings,box springs,box springs
105,brainstorm,brainstorm,bra in storm
106,brainwash,brainwash,bra in wash
107,breadbasket,breadbasket,bread basket
108,breadbox,bread box,bread box
109,breadcrumbs,breadcrumbs,bread crumbs
110,breadfruit,breadfruit,bread fruit
111,breadknife,bread knife,bread knife
112,breadstick,bread stick,breads tick
113,breakdance,break dance,break dance
114,breakfast,breakfast,break fast
115,breakfront,break front,break front
116,breakneck,breakneck,break neck
117,breakout,breakout,break out
118,breakthrough,breakthrough,break through
119,breakup,breakup,break up
120,breakwater,breakwater,break water
121,breastbone,breastbone,breast bone
122,breaststroke,breaststroke,breast stroke
123,bridegroom,bridegroom,bride groom
124,briefcase,briefcase,brief case
125,browbeat,browbeat,brow beat
126,bucktoothed,bucktoothed,bu ck toothed
127,bulldog,bulldog,bu ll dog
128,bulldozer,bulldozer,bulldozer
129,bullfrog,bullfrog,bu ll frog
130,bulkhead,bulkhead,bulk head
131,businessman,businessman,business man
132,businesswoman,businesswoman,business woman
133,buttercup,buttercup,butt er cup
134,butterfingers,butterfingers,butt er fingers
135,butterfly,butterfly,butt er fly
136,buttermilk,buttermilk,butt er milk
137,buttonhole,buttonhole,butt on hole
138,bygone,bygone,by gone
139,candlestick,candlestick,candle stick
140,campfire,campfire,ca mp fire
141,candytuft,candy tuft,candy tuft
142,cannot,cannot,can not
143,cardboard,cardboard,ca rd board
144,carefree,carefree,ca re free
145,careless,careless,ca re less
146,caretaker,caretaker,ca re taker
147,carport,carport,car port
148,cartwheel,cartwheel,ca rt wheel
149,catfish,catfish,cat fish
150,catnap,catnap,cat nap
151,catnip,catnip,cat nip
152,chairman,chairman,ch airman
153,chairwoman,chairwoman,ch air woman
154,cheapskate,cheapskate,cheap skate
155,checkerboard,checkerboard,check er board
156,checkmate,checkmate,check mate
157,checkroom,checkroom,check room
158,checkup,checkup,check up
